date,name,type,year
2025-01-11,Prithvi Jayanti,Public Holiday,2025
2025-01-14,Maghe Sankranti,Public Holiday,2025
2025-01-30,Martyrs' Memorial Day,Public Holiday,2025
2025-01-30,Sonam Losar (Tamang New Year),Public Holiday,2025
2025-02-19,National Democracy Day,Public Holiday,2025
2025-02-26,Maha Shivaratri,Public Holiday,2025
2025-02-28,Gyalpo Losar,Optional Holiday,2025
2025-03-02,Ramadan Start,Observance,2025
2025-03-08,Nari Dibas,Public Holiday,2025
2025-03-13,Holi Purnima (Hill region),Local Holiday,2025
2025-03-14,Holi Purnima (Terai region),Local Holiday,2025
2025-03-20,March Equinox,Season,2025
2025-03-29,Godhe Yatra,Local Holiday,2025
2025-03-31,Ramjan Edul Fikra,Optional Holiday,2025
2025-04-06,Ram Nawami,Public Holiday,2025
2025-04-14,Nepali New Year,Public Holiday,2025
2025-05-01,Majdoor Divas,Public Holiday,2025
2025-05-12,Buddha Jayanti,Public Holiday,2025
2025-05-12,Ubhauli Parva,Optional Holiday,2025
2025-05-29,Ganatantra Diwas (Republic Day),Public Holiday,2025
2025-06-04,Elimination of Caste Discrimination and Untouchability Day,Observance,2025
2025-06-07,Edul Aajaha (Tentative Date),Optional Holiday,2025
2025-06-21,June Solstice,Season,2025
2025-08-09,Janai Purnima,Public Holiday,2025
2025-08-10,Gai Jatra,Local Holiday,2025
2025-08-16,Shree Krishna Janamashtami,Public Holiday,2025
2025-08-26,Hartalika Teej,Optional Holiday,2025
2025-08-31,Gaura Parba,Optional Holiday,2025
2025-09-06,Indra Jatra,Local Holiday,2025
2025-09-07,Civil Service Day,Observance,2025
2025-09-15,Jitiya Parwa,Optional Holiday,2025
2025-09-19,Constitution Day,Public Holiday,2025
2025-09-22,Ghatasthapana,Public Holiday,2025
2025-09-23,September Equinox,Season,2025
2025-09-29,Phulpati (Dashain),Public Holiday,2025
2025-09-30,Astami (Dashain),Public Holiday,2025
2025-10-01,Nawami (Dashain),Public Holiday,2025
2025-10-02,Dashami (Dashain),Public Holiday,2025
2025-10-03,Ekadashi (Dashain),Public Holiday,2025
2025-10-04,Duwadashi (Dashain),Public Holiday,2025
2025-10-20,Laxmi Puja (Tihar),Public Holiday,2025
2025-10-21,Gai Tihar,Public Holiday,2025
2025-10-22,Gobhardan Pujan (Tihar),Public Holiday,2025
2025-10-23,Bhai Tika (Tihar),Public Holiday,2025
2025-10-24,Tihar Holiday,Public Holiday,2025
2025-10-27,Chhat Parwa,Public Holiday,2025
2025-11-05,Guru Nanak Jayanti,Optional Holiday,2025
2025-11-11,Phalgunanda Jayanti,Optional Holiday,2025
2025-12-03,International Day of Disabled Persons,Optional Holiday,2025
2025-12-04,Udhauli Parva,Optional Holiday,2025
2025-12-21,December Solstice,Season,2025
2025-12-25,Christmas Day,Optional Holiday,2025
2025-12-30,Tamu Lhosar,Optional Holiday,2025
