date, pm25, pm10
2025-05-02T18:15:00, 8, 7
2025/5/2, 12, 8
2025/5/3, 12, 2
2025/5/4, 5, 5
2025/5/5, 8, 3
2025/5/6, 11, 6
2025/5/7, 14, 4
2025/5/8, 8, 7
2025/5/9, 11, 5
2025/5/10, 6, 2
2025/5/11, 7, 4
2025/5/12, 6, 2
2025/5/13, 6, 4
2025/5/14, 6, 4
2025/5/15, 6, 6
2025/5/16, 7, 1
2025/5/17, 5, 1
2025/5/18, 4, 2
2025/5/19, 6, 1
2025/5/20, 3, 1
2025/5/21, 4, 4
2025/5/22, 5, 5
2025/5/23, 4, 1
2025/5/24, 4, 8
2025/5/25, 6, 2
2025/5/26, 4, 2
2025/5/27, 3, 7
2025/5/28, 10, 2
2025/5/29, 2, 5
2025/5/30, 7, 1
2025/5/31, 1, 
2025/4/1, 187, 146
2025/4/2, 220, 127
2025/4/3, 224, 111
2025/4/4, 181, 134
2025/4/5, 193, 122
2025/4/6, 173, 136
2025/4/7, 188, 111
2025/4/8, 183, 126
2025/4/9, 176, 45
2025/4/10, 120, 47
2025/4/11, 111, 37
2025/4/12, 86, 44
2025/4/13, 105, 48
2025/4/14, 114, 50
2025/4/15, 119, 58
2025/4/16, 128, 46
2025/4/17, 123, 40
2025/4/18, 117, 
2025/4/21, 84, 57
2025/4/22, 96, 90
2025/4/23, 107, 132
2025/4/24, 137, 82
2025/4/25, 127, 86
2025/4/26, 129, 13
2025/4/27, 37, 5
2025/4/28, 21, 5
2025/4/29, 16, 4
2025/4/30, 9, 2
2025/2/7, 133, 100
2025/2/8, 159, 91
2025/2/9, 167, 89
2025/2/10, 168, 141
2025/2/11, 158, 156
2025/2/12, 162, 123
2025/2/13, 159, 128
2025/2/14, 172, 97
2025/2/15, 170, 128
2025/2/16, 173, 108
2025/2/17, 168, 123
2025/2/18, 169, 93
2025/2/19, 168, 111
2025/2/20, 167, 108
2025/2/21, 159, 92
2025/2/22, 149, 100
2025/2/23, 142, 79
2025/2/24, 161, 92
2025/2/25, 165, 87
2025/2/26, 161, 124
