date,name,type,year
2020-01-15,Maghe Sankranti,Optional Holiday,2020
2020-01-25,Sonam Losar (Tamang New Year),Optional Holiday,2020
2020-01-29,Basant Panchami,Academic Holiday,2020
2020-01-30,Martyrs' Memorial Day,Observance,2020
2020-02-19,National Democracy Day,Observance,2020
2020-02-21,Maha Shivaratri,Public Holiday,2020
2020-02-24,Gyalpo Losar,Optional Holiday,2020
2020-03-08,Nari Dibas,Public Holiday,2020
2020-03-09,Holi Purnima (Hill region),Local Holiday,2020
2020-03-10,Holi Purnima (Terai region),Local Holiday,2020
2020-03-20,March Equinox,Season,2020
2020-03-24,Godhe Yatra,Local Holiday,2020
2020-04-02,Ram Nawami,Public Holiday,2020
2020-04-13,Nepali New Year,Public Holiday,2020
2020-04-23,Loktantra Diwas,Observance,2020
2020-05-01,Majdoor Divas,Public Holiday,2020
2020-05-07,Buddha Jayanti,Public Holiday,2020
2020-05-07,Ubhauli Parva,Optional Holiday,2020
2020-05-25,Ramjan Edul Fikra,Optional Holiday,2020
2020-05-28,Ganatantra Diwas (Republic Day),Observance,2020
2020-06-21,June Solstice,Season,2020
2020-08-01,Edul Aajaha,Optional Holiday,2020
2020-08-03,Janai Purnima,Public Holiday,2020
2020-08-11,Shree Krishna Janamashtami,Public Holiday,2020
2020-08-11,Gai Jatra,Local Holiday,2020
2020-08-21,Hartalika Teej,Optional Holiday,2020
2020-08-23,Rishi Panchami,Public Holiday,2020
2020-08-26,Gaura Parba,Optional Holiday,2020
2020-09-01,Indra Jatra,Local Holiday,2020
2020-09-07,Civil Service Day,Public Holiday,2020
2020-09-10,Jitiya Parwa,Optional Holiday,2020
2020-09-19,Constitution Day,Public Holiday,2020
2020-09-22,September Equinox,Season,2020
2020-10-17,Ghatasthapana,Observance,2020
2020-10-23,Phulpati (Dashain),Public Holiday,2020
2020-10-24,Astami (Dashain),Public Holiday,2020
2020-10-25,Nawami (Dashain),Public Holiday,2020
2020-10-26,Dashami (Dashain),Public Holiday,2020
2020-10-27,Ekadashi (Dashain),Public Holiday,2020
2020-10-28,Duwadashi (Dashain),Public Holiday,2020
2020-10-30,Kojagrat Purnima,Public Holiday,2020
2020-11-11,Phalgunanda Jayanti,Optional Holiday,2020
2020-11-15,Laxmi Puja (Tihar),Public Holiday,2020
2020-11-16,Gobhardan Pujan (Tihar),Public Holiday,2020
2020-11-17,Bhai Tika (Tihar),Public Holiday,2020
2020-11-20,Chhat Parwa,Optional Holiday,2020
2020-11-30,Guru Nanak Jayanti,Optional Holiday,2020
2020-12-03,International Day of Disabled Persons,Optional Holiday,2020
2020-12-21,December Solstice,Season,2020
2020-12-25,Christmas Day,Optional Holiday,2020
2020-12-29,Udhauli Parva,Optional Holiday,2020
2020-12-30,Tamu Lhosar,Optional Holiday,2020
2021-01-14,Maghe Sankranti,Public Holiday,2021
2021-02-12,Sonam Losar (Tamang New Year),Optional Holiday,2021
2021-02-16,Basant Panchami,Academic Holiday,2021
2021-02-19,National Democracy Day,Observance,2021
2021-03-08,Nari Dibas,Public Holiday,2021
2021-03-11,Maha Shivaratri,Public Holiday,2021
2021-03-14,Gyalpo Losar,Optional Holiday,2021
2021-03-20,March Equinox,Season,2021
2021-03-28,Holi Purnima (Hill region),Local Holiday,2021
2021-03-29,Holi Purnima (Terai region),Local Holiday,2021
2021-04-11,Godhe Yatra,Local Holiday,2021
2021-04-14,Nepali New Year,Public Holiday,2021
2021-04-24,Loktantra Diwas,Observance,2021
2021-05-01,Majdoor Divas,Public Holiday,2021
2021-05-14,Ramjan Edul Fikra,Optional Holiday,2021
2021-05-26,Ubhauli Parva,Optional Holiday,2021
2021-05-26,Buddha Jayanti,Public Holiday,2021
2021-05-29,Ganatantra Diwas (Republic Day),Public Holiday,2021
2021-06-21,June Solstice,Season,2021
2021-07-21,Edul Aajaha,Optional Holiday,2021
2021-08-22,Janai Purnima,Public Holiday,2021
2021-08-23,Gai Jatra,Local Holiday,2021
2021-08-30,Shree Krishna Janamashtami,Public Holiday,2021
2021-08-30,Gaura Parba,Optional Holiday,2021
2021-09-09,Hartalika Teej,Optional Holiday,2021
2021-09-19,Constitution Day,Public Holiday,2021
2021-09-19,Indra Jatra,Local Holiday,2021
2021-09-23,September Equinox,Season,2021
2021-09-29,Jitiya Parwa,Optional Holiday,2021
2021-10-07,Ghatasthapana,Public Holiday,2021
2021-10-12,Phulpati (Dashain),Public Holiday,2021
2021-10-13,Astami (Dashain),Public Holiday,2021
2021-10-14,Nawami (Dashain),Public Holiday,2021
2021-10-15,Dashami (Dashain),Public Holiday,2021
2021-10-16,Ekadashi (Dashain),Public Holiday,2021
2021-10-17,Duwadashi (Dashain),Observance,2021
2021-11-04,Laxmi Puja (Tihar),Public Holiday,2021
2021-11-05,Gobhardan Pujan (Tihar),Public Holiday,2021
2021-11-06,Bhai Tika (Tihar),Public Holiday,2021
2021-11-10,Chhat Parwa,Public Holiday,2021
2021-11-11,Phalgunanda Jayanti,Optional Holiday,2021
2021-11-19,Guru Nanak Jayanti,Optional Holiday,2021
2021-12-03,International Day of Disabled Persons,Optional Holiday,2021
2021-12-19,Udhauli Parva,Optional Holiday,2021
2021-12-21,December Solstice,Season,2021
2021-12-25,Christmas Day,Public Holiday,2021
2021-12-29,Tamu Lhosar Holiday,Public Holiday,2021
2021-12-30,Tamu Lhosar,Optional Holiday,2021
2022-01-15,Maghe Sankranti,Public Holiday,2022
2022-02-02,Sonam Losar (Tamang New Year),Optional Holiday,2022
2022-02-06,Basant Panchami,Academic Holiday,2022
2022-02-19,National Democracy Day,Public Holiday,2022
2022-03-01,Maha Shivaratri,Public Holiday,2022
2022-03-03,Gyalpo Losar,Public Holiday,2022
2022-03-08,Nari Dibas,Public Holiday,2022
2022-03-17,Holi Purnima (Hill region),Local Holiday,2022
2022-03-18,Holi Purnima (Terai region),Local Holiday,2022
2022-03-20,March Equinox,Season,2022
2022-04-01,Godhe Yatra,Local Holiday,2022
2022-04-10,Ram Nawami,Public Holiday,2022
2022-04-14,Nepali New Year,Public Holiday,2022
2022-05-01,Majdoor Divas,Public Holiday,2022
2022-05-03,Ramjan Edul Fikra,Optional Holiday,2022
2022-05-13,Election Day,Public Holiday,2022
2022-05-16,Buddha Jayanti,Public Holiday,2022
2022-05-16,Ubhauli Parva,Optional Holiday,2022
2022-05-29,Ganatantra Diwas (Republic Day),Public Holiday,2022
2022-06-21,June Solstice,Season,2022
2022-07-10,Edul Aajaha,Public Holiday,2022
2022-08-12,Janai Purnima,Public Holiday,2022
2022-08-12,Gai Jatra,Local Holiday,2022
2022-08-19,Shree Krishna Janamashtami,Public Holiday,2022
2022-08-30,Hartalika Teej,Optional Holiday,2022
2022-09-03,Gaura Parba,Optional Holiday,2022
2022-09-09,Indra Jatra,Local Holiday,2022
2022-09-18,Jitiya Parwa,Optional Holiday,2022
2022-09-19,Constitution Day,Public Holiday,2022
2022-09-23,September Equinox,Season,2022
2022-09-26,Ghatasthapana,Public Holiday,2022
2022-10-02,Phulpati (Dashain),Public Holiday,2022
2022-10-03,Astami (Dashain),Public Holiday,2022
2022-10-04,Nawami (Dashain),Public Holiday,2022
2022-10-05,Dashami (Dashain),Public Holiday,2022
2022-10-06,Ekadashi (Dashain),Public Holiday,2022
2022-10-07,Duwadashi (Dashain),Public Holiday,2022
2022-10-18,National Mourning Day,Public Holiday,2022
2022-10-24,Laxmi Puja (Tihar),Public Holiday,2022
2022-10-25,Gai Tihar,Public Holiday,2022
2022-10-26,Gobhardan Pujan (Tihar),Public Holiday,2022
2022-10-27,Bhai Tika (Tihar),Public Holiday,2022
2022-10-30,Chhat Parwa,Public Holiday,2022
2022-11-08,Guru Nanak Jayanti,Optional Holiday,2022
2022-11-11,Phalgunanda Jayanti,Optional Holiday,2022
2022-11-20,General Election Day,Public Holiday,2022
2022-11-21,General Election Holiday,Public Holiday,2022
2022-12-03,International Day of Disabled Persons,Optional Holiday,2022
2022-12-08,Udhauli Parva,Optional Holiday,2022
2022-12-22,December Solstice,Season,2022
2022-12-25,Christmas Day,Optional Holiday,2022
2022-12-30,Tamu Lhosar,Optional Holiday,2022
2023-01-11,Prithvi Jayanti,Public Holiday,2023
2023-01-15,Maghe Sankranti,Public Holiday,2023
2023-01-16,National Day of Mourning,Public Holiday,2023
2023-01-22,Sonam Losar (Tamang New Year),Optional Holiday,2023
2023-01-26,Basant Panchami,Academic Holiday,2023
2023-02-13,People's War Day,Public Holiday,2023
2023-02-18,Maha Shivaratri,Public Holiday,2023
2023-02-19,National Democracy Day,Public Holiday,2023
2023-02-21,Gyalpo Losar,Optional Holiday,2023
2023-03-06,Holi Purnima (Hill region),Local Holiday,2023
2023-03-07,Holi Purnima (Terai region),Local Holiday,2023
2023-03-08,Nari Dibas,Public Holiday,2023
2023-03-21,Godhe Yatra,Local Holiday,2023
2023-03-21,March Equinox,Season,2023
2023-03-30,Ram Nawami,Observance,2023
2023-04-14,Nepali New Year,Public Holiday,2023
2023-04-22,Ramjan Edul Fikra,Optional Holiday,2023
2023-05-01,Majdoor Divas,Public Holiday,2023
2023-05-05,Buddha Jayanti,Public Holiday,2023
2023-05-05,Ubhauli Parva,Optional Holiday,2023
2023-05-29,Ganatantra Diwas (Republic Day),Public Holiday,2023
2023-06-21,June Solstice,Season,2023
2023-06-29,Edul Aajaha,Optional Holiday,2023
2023-08-30,Janai Purnima,Public Holiday,2023
2023-09-01,Gai Jatra,Local Holiday,2023
2023-09-06,Shree Krishna Janamashtami,Public Holiday,2023
2023-09-06,Gaura Parba,Optional Holiday,2023
2023-09-14,National Mourning Day,Public Holiday,2023
2023-09-18,Hartalika Teej,Optional Holiday,2023
2023-09-19,Constitution Day,Public Holiday,2023
2023-09-23,September Equinox,Season,2023
2023-09-28,Indra Jatra,Local Holiday,2023
2023-10-07,Jitiya Parwa,Optional Holiday,2023
2023-10-15,Ghatasthapana,Public Holiday,2023
2023-10-21,Phulpati (Dashain),Public Holiday,2023
2023-10-22,Astami (Dashain),Public Holiday,2023
2023-10-23,Nawami (Dashain),Public Holiday,2023
2023-10-24,Dashami (Dashain),Public Holiday,2023
2023-10-25,Ekadashi (Dashain),Public Holiday,2023
2023-11-11,Phalgunanda Jayanti,Optional Holiday,2023
2023-11-12,Laxmi Puja (Tihar),Public Holiday,2023
2023-11-14,Gobhardan Pujan (Tihar),Public Holiday,2023
2023-11-15,Bhai Tika (Tihar),Public Holiday,2023
2023-11-19,Chhat Parwa,Public Holiday,2023
2023-11-27,Guru Nanak Jayanti,Optional Holiday,2023
2023-12-03,International Day of Disabled Persons,Optional Holiday,2023
2023-12-22,December Solstice,Season,2023
2023-12-25,Christmas Day,Optional Holiday,2023
2023-12-26,Udhauli Parva,Optional Holiday,2023
2023-12-30,Tamu Lhosar,Optional Holiday,2023
2024-01-12,Prithvi Jayanti,Public Holiday,2024
2024-01-15,Maghe Sankranti,Public Holiday,2024
2024-02-10,Sonam Losar (Tamang New Year),Optional Holiday,2024
2024-02-19,National Democracy Day,Public Holiday,2024
2024-03-08,Nari Dibas,Public Holiday,2024
2024-03-08,Maha Shivaratri,Public Holiday,2024
2024-03-11,Gyalpo Losar,Optional Holiday,2024
2024-03-12,Ramadan Start,Observance,2024
2024-03-20,March Equinox,Season,2024
2024-03-24,Holi Purnima (Hill region),Local Holiday,2024
2024-03-25,Holi Purnima (Terai region),Local Holiday,2024
2024-04-08,Godhe Yatra,Local Holiday,2024
2024-04-11,Ramjan Edul Fikra,Optional Holiday,2024
2024-04-13,Nepali New Year,Public Holiday,2024
2024-04-17,Ram Nawami,Public Holiday,2024
2024-04-23,Holiday for Emir of Qatar's Visit,Public Holiday,2024
2024-05-01,Majdoor Divas,Public Holiday,2024
2024-05-23,Buddha Jayanti,Public Holiday,2024
2024-05-23,Ubhauli Parva,Optional Holiday,2024
2024-05-28,Ganatantra Diwas (Republic Day),Public Holiday,2024
2024-06-17,Edul Aajaha (Tentative Date),Optional Holiday,2024
2024-06-21,June Solstice,Season,2024
2024-08-19,Janai Purnima,Public Holiday,2024
2024-08-20,Gai Jatra,Local Holiday,2024
2024-08-26,Shree Krishna Janamashtami,Public Holiday,2024
2024-08-26,Gaura Parba,Optional Holiday,2024
2024-09-06,Hartalika Teej,Optional Holiday,2024
2024-09-17,Indra Jatra,Local Holiday,2024
2024-09-19,Constitution Day,Public Holiday,2024
2024-09-22,September Equinox,Season,2024
2024-09-25,Jitiya Parwa,Optional Holiday,2024
2024-10-03,Ghatasthapana,Public Holiday,2024
2024-10-10,Astami (Dashain),Public Holiday,2024
2024-10-10,Phulpati (Dashain),Public Holiday,2024
2024-10-11,Nawami (Dashain),Public Holiday,2024
2024-10-12,Dashami (Dashain),Public Holiday,2024
2024-10-13,Ekadashi (Dashain),Public Holiday,2024
2024-11-01,Laxmi Puja (Tihar),Public Holiday,2024
2024-11-02,Gobhardan Pujan (Tihar),Public Holiday,2024
2024-11-03,Bhai Tika (Tihar),Public Holiday,2024
2024-11-07,Chhat Parwa,Public Holiday,2024
2024-11-10,Phalgunanda Jayanti,Optional Holiday,2024
2024-11-15,Guru Nanak Jayanti,Optional Holiday,2024
2024-11-18,National Mourning Day,Public Holiday,2024
2024-12-03,International Day of Disabled Persons,Optional Holiday,2024
2024-12-15,Udhauli Parva,Optional Holiday,2024
2024-12-21,December Solstice,Season,2024
2024-12-25,Christmas Day,Optional Holiday,2024
2024-12-30,Tamu Lhosar,Optional Holiday,2024
2025-01-11,Prithvi Jayanti,Public Holiday,2025
2025-01-14,Maghe Sankranti,Public Holiday,2025
2025-01-30,Martyrs' Memorial Day,Public Holiday,2025
2025-01-30,Sonam Losar (Tamang New Year),Public Holiday,2025
2025-02-19,National Democracy Day,Public Holiday,2025
2025-02-26,Maha Shivaratri,Public Holiday,2025
2025-02-28,Gyalpo Losar,Optional Holiday,2025
2025-03-02,Ramadan Start,Observance,2025
2025-03-08,Nari Dibas,Public Holiday,2025
2025-03-13,Holi Purnima (Hill region),Local Holiday,2025
2025-03-14,Holi Purnima (Terai region),Local Holiday,2025
2025-03-20,March Equinox,Season,2025
2025-03-29,Godhe Yatra,Local Holiday,2025
2025-03-31,Ramjan Edul Fikra,Optional Holiday,2025
2025-04-06,Ram Nawami,Public Holiday,2025
2025-04-14,Nepali New Year,Public Holiday,2025
2025-05-01,Majdoor Divas,Public Holiday,2025
2025-05-12,Buddha Jayanti,Public Holiday,2025
2025-05-12,Ubhauli Parva,Optional Holiday,2025
2025-05-29,Ganatantra Diwas (Republic Day),Public Holiday,2025
2025-06-04,Elimination of Caste Discrimination and Untouchability Day,Observance,2025
2025-06-07,Edul Aajaha (Tentative Date),Optional Holiday,2025
2025-06-21,June Solstice,Season,2025
2025-08-09,Janai Purnima,Public Holiday,2025
2025-08-10,Gai Jatra,Local Holiday,2025
2025-08-16,Shree Krishna Janamashtami,Public Holiday,2025
2025-08-26,Hartalika Teej,Optional Holiday,2025
